epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,6193.76,0.29413,0.89051,1,0.32008,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,6342.07,0.28995,0.90024,1,0.33689,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,6483.94,0.30376,0.90024,1,0.29479,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,6621.7,0.31936,0.89538,1,0.3298,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,6763.92,0.32047,0.90268,1,0.30162,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,6895.85,0.3012,0.90024,1,0.27945,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,7034.34,0.31674,0.89538,1,0.2995,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,7171.34,0.30327,0.89538,1,0.31812,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,7324.05,0.31391,0.91484,1,0.28103,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,7486.06,0.28748,0.89294,1,0.33929,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,7620.19,0.298,0.89781,1,0.33136,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,7753.28,0.3046,0.90268,1,0.29082,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,7883.7,0.28828,0.88564,1,0.30627,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,8015.22,0.28123,0.90511,1,0.26797,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,8139.12,0.28091,0.88564,1,0.32629,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,8265.14,0.28021,0.90754,1,0.2983,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,8398.44,0.28355,0.89781,1,0.28419,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
