epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,138.465,0.87066,0.71776,1,0.68746,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699
2,260.129,0.66451,0.74453,1,0.65651,0.0198522,0.00661741,0.0198522,0.00661741,0.0198522,0.00661741,0.0198522,0.00661741
3,386.129,0.74179,0.68613,1,0.87139,0.0296545,0.00988482,0.0296545,0.00988482,0.0296545,0.00988482,0.0296545,0.00988482
4,511.204,0.84756,0.71533,1,0.66868,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,634.01,0.92533,0.6691,1,0.76209,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,757.336,0.76995,0.71046,1,0.73122,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,888.426,0.74794,0.73479,1,0.61334,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1010.45,0.7254,0.75912,1,0.57876,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1132.66,0.73569,0.76399,1,0.55841,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1255.65,0.71243,0.78832,1,0.57734,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1378.17,0.64967,0.75912,1,0.56269,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1502.38,0.62508,0.77859,1,0.48958,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1625.32,0.58903,0.81022,1,0.45264,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1746.54,0.64421,0.82968,1,0.45354,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1868.58,0.59145,0.80049,1,0.53583,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1991.36,0.56856,0.79319,1,0.48845,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
